,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,CrimeId,callDateTime,Priority,CallDescription,CallId
87143,2015-11-27 00:00:00,07:00:00,5A,300 FOLCROFT ST,BURGLARY,I,,241.0,SOUTHEASTERN,Bayview,-76.54199,39.28957,"(39.2895700000, -76.5419900000)",ROW/TOWNHO,1,87143,2015-11-28 00:50:00,Medium,COMMON ASSAULT,
87155,2015-11-27 00:00:00,00:45:00,3AF,4500 WILMSLOW RD,ROBBERY - STREET,O,FIREARM,541.0,NORTHERN,Evergreen,-76.62849,39.34561,"(39.3456100000, -76.6284900000)",STREET,1,87155,2015-11-27 00:54:00,High,ROBBERY ARMED,
87156,2015-11-27 00:00:00,00:45:00,3AF,4500 WILMSLOW RD,ROBBERY - STREET,O,FIREARM,541.0,NORTHERN,Evergreen,-76.62849,39.34561,"(39.3456100000, -76.6284900000)",STREET,1,87156,2015-11-27 00:54:00,High,ROBBERY ARMED,
87157,2015-11-27 00:00:00,00:30:00,4C,900 DANTREY CT,AGG. ASSAULT,I,OTHER,913.0,SOUTHERN,Brooklyn,-76.59963,39.22972,"(39.2297200000, -76.5996300000)",ROW/TOWNHO,1,87157,2015-11-27 00:31:00,High,AGGRAV ASSAULT,
86874,2015-11-28 00:00:00,23:39:00,3AF,100 W LEXINGTON ST,ROBBERY - STREET,O,FIREARM,111.0,CENTRAL,Downtown,-76.61729,39.29164,"(39.2916400000, -76.6172900000)",STREET,1,86874,2015-11-28 23:41:00,High,ROBBERY ARMED,
86876,2015-11-28 00:00:00,23:00:00,6D,5000 CORLEY RD,LARCENY FROM AUTO,O,,821.0,SOUTHWESTERN,Wakefield,-76.70206,39.31275,"(39.3127500000, -76.7020600000)",PARKING LO,1,86876,2015-11-29 11:19:00,Low,LARCENY F/AUTO,
86878,2015-11-28 00:00:00,22:30:00,4E,1100 S CLINTON ST,COMMON ASSAULT,I,HANDS,232.0,SOUTHEASTERN,Canton,-76.56949,39.27965,"(39.2796500000, -76.5694900000)",ROW/TOWNHO,1,86878,2015-11-28 23:14:00,Medium,COMMON ASSAULT,
86885,2015-11-28 00:00:00,21:37:00,4E,800 GILRUBIN CT,COMMON ASSAULT,I,HANDS,542.0,NORTHERN,Pen Lucy,-76.60351999999999,39.34175,"(39.3417500000, -76.6035200000)",ROW/TOWNHO,1,86885,2015-11-28 21:35:00,Medium,COMMON ASSAULT,
86892,2015-11-28 00:00:00,21:00:00,7A,2000 GREENBERRY RD,AUTO THEFT,O,,533.0,NORTHERN,Mount Washington,-76.65753000000001,39.35947,"(39.3594700000, -76.6575300000)",STREET,1,86892,2015-11-29 09:43:00,Medium,AUTO THEFT,
86917,2015-11-28 00:00:00,19:00:00,6D,500 S WOLFE ST,LARCENY FROM AUTO,O,,213.0,SOUTHEASTERN,Fells Point,-76.59004,39.2855,"(39.2855000000, -76.5900400000)",STREET,1,86917,2015-11-28 00:06:00,High,Traffic Stop,
86928,2015-11-28 00:00:00,18:36:00,7A,1900 W SARATOGA ST,AUTO THEFT,O,,714.0,WESTERN,Penrose/Fayette Street Ou,-76.6477,39.29201,"(39.2920100000, -76.6477000000)",STREET,1,86928,2015-11-28 18:29:00,Low,RECOVERED VEH,
86933,2015-11-28 00:00:00,18:15:00,6G,2100 HAINES ST,LARCENY,I,,941.0,SOUTHERN,Carroll - Camden Industri,-76.62815,39.27199,"(39.2719900000, -76.6281500000)",BUS/RAILRO,1,86933,2015-11-28 18:09:00,Low,LARCENCY,
86937,2015-11-28 00:00:00,18:00:00,5D,3400 DENNLYN RD,BURGLARY,O,,643.0,NORTHWESTERN,Ashburton,-76.6683,39.32369,"(39.3236900000, -76.6683000000)",SHED/GARAG,1,86937,2015-11-29 08:35:00,Low,LARCENCY,
86948,2015-11-28 00:00:00,16:30:00,6D,3600 CLARENELL RD,LARCENY FROM AUTO,O,,832.0,SOUTHWESTERN,Violetville,-76.67681,39.265640000000005,"(39.2656400000, -76.6768100000)",DRIVEWAY,1,86948,2015-11-29 11:56:00,Low,DESTRUCT PROPTY,
86952,2015-11-28 00:00:00,16:05:00,3B,2200 E FAYETTE ST,ROBBERY - STREET,O,,212.0,EASTERN,Butcher's Hill,-76.5854,39.29425,"(39.2942500000, -76.5854000000)",STREET,1,86952,2015-11-29 01:05:00,Medium,FAMILY DISTURB,
86957,2015-11-28 00:00:00,15:00:00,6E,1600 E 25TH ST,LARCENY,O,,342.0,EASTERN,Darley Park,-76.59445,39.31637,"(39.3163700000, -76.5944500000)",STREET,1,86957,2015-11-28 09:54:00,Medium,DISORDERLY,
86962,2015-11-28 00:00:00,14:30:00,6D,500 S BOND ST,LARCENY FROM AUTO,O,,213.0,SOUTHEASTERN,Fells Point,-76.5954,39.28533,"(39.2853300000, -76.5954000000)",STREET,1,86962,2015-11-28 23:44:00,Low,LARCENY F/AUTO,
86963,2015-11-28 00:00:00,14:30:00,4D,300 MCMECHEN ST,AGG. ASSAULT,O,HANDS,132.0,CENTRAL,Bolton Hill,-76.62825,39.30669,"(39.3066900000, -76.6282500000)",PARKING LO,1,86963,2015-11-28 14:24:00,High,AGGRAV ASSAULT,
86986,2015-11-28 00:00:00,10:00:00,7A,800 HOLLINS ST,AUTO THEFT,O,,931.0,SOUTHERN,Hollins Market,-76.63016999999999,39.28795,"(39.2879500000, -76.6301700000)",STREET,1,86986,2015-11-29 21:30:00,Medium,AUTO THEFT,
86994,2015-11-28 00:00:00,08:30:00,6D,400 N EUTAW ST,LARCENY FROM AUTO,O,,111.0,CENTRAL,Downtown,-76.6212,39.29449,"(39.2944900000, -76.6212000000)",STREET,1,86994,2015-11-28 11:29:00,Low,LARCENCY,
86998,2015-11-28 00:00:00,07:35:00,6D,3600 COLUMBUS DR,LARCENY FROM AUTO,O,,643.0,NORTHWESTERN,Dolfield,-76.67515,39.337109999999996,"(39.3371100000, -76.6751500000)",STREET,1,86998,2015-11-28 07:00:00,Low,LARCENY F/AUTO,
87008,2015-11-28 00:00:00,02:15:00,4E,2500 DRUID PARK DR,COMMON ASSAULT,I,HANDS,612.0,NORTHWESTERN,Park Circle,-76.65663,39.32667,"(39.3266700000, -76.6566300000)",ROW/TOWNHO,1,87008,2015-11-28 05:59:00,Medium,COMMON ASSAULT,
87009,2015-11-28 00:00:00,02:00:00,6D,500 MOSHER ST,LARCENY FROM AUTO,O,,123.0,CENTRAL,Upton,-76.63136,39.3029,"(39.3029000000, -76.6313600000)",STREET,1,87009,2015-11-29 00:07:00,Low,DESTRUCT PROPTY,
87019,2015-11-28 00:00:00,00:50:00,4E,300 FOLCROFT ST,COMMON ASSAULT,I,HANDS,241.0,SOUTHEASTERN,Bayview,-76.54191999999999,39.2897,"(39.2897000000, -76.5419200000)",ROW/TOWNHO,1,87019,2015-11-28 00:50:00,Medium,COMMON ASSAULT,
86760,2015-11-29 00:00:00,23:44:00,5E,2000 W LANVALE ST,BURGLARY,I,,722.0,WESTERN,Midtown-Edmondson,-76.6493,39.297509999999996,"(39.2975100000, -76.6493000000)",LIQUOR STO,1,86760,2015-11-30 10:54:00,Medium,BURGLARY,
86765,2015-11-29 00:00:00,21:30:00,6E,3800 ELLAMONT RD,LARCENY,O,,643.0,NORTHWESTERN,East Arlington,-76.66715,39.32837,"(39.3283700000, -76.6671500000)",ALLEY,1,86765,2015-11-30 10:23:00,Low,LARCENY F/AUTO,
86770,2015-11-29 00:00:00,21:00:00,7A,2100 CRIMEA RD,AUTO THEFT,I,,821.0,SOUTHWESTERN,Wakefield,-76.70307,39.31015,"(39.3101500000, -76.7030700000)",APT/CONDO,1,86770,2015-11-29 11:57:00,Low,RECOVERED VEH,
86772,2015-11-29 00:00:00,21:00:00,3B,0 W JEFFREY ST,ROBBERY - STREET,O,,913.0,SOUTHERN,Brooklyn,-76.61163,39.235640000000004,"(39.2356400000, -76.6116300000)",STREET,1,86772,2015-11-30 23:56:00,Low,LARCENCY,
86773,2015-11-29 00:00:00,21:00:00,3B,0 W JEFFREY ST,ROBBERY - STREET,O,,913.0,SOUTHERN,Brooklyn,-76.61163,39.235640000000004,"(39.2356400000, -76.6116300000)",STREET,1,86773,2015-11-30 23:56:00,Low,LARCENCY,
86784,2015-11-29 00:00:00,19:54:00,3AF,1900 BARCLAY ST,ROBBERY - STREET,O,FIREARM,341.0,EASTERN,Barclay,-76.611,39.31195,"(39.3119500000, -76.6110000000)",STREET,1,86784,2015-11-29 19:46:00,High,ROBBERY UNARMED,
86788,2015-11-29 00:00:00,19:00:00,5B,100 E 33RD ST,BURGLARY,I,,512.0,NORTHERN,Charles Village,-76.61569,39.32803,"(39.3280300000, -76.6156900000)",OTHER/RESI,1,86788,2015-11-29 10:31:00,Low,DESTRUCT PROPTY,
