Unnamed: 0,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,callDateTime,Priority,CallDescription,Season,Month,Hour
129258,2015-01-19,21:00:00,6E,1100 N MACON ST,LARCENY,Outside,NONE,333.0,EASTERN,Orangeville,-76.55919,39.30479,"(39.3047900000, -76.5591900000)",STREET,1,2015-01-20 15:10:00,Low,Larceny f/Auto,winter,1,21
129259,2015-01-19,21:00:00,6D,3400 ROSEDALE RD,LARCENY FROM AUTO,Outside,NONE,643.0,NORTHWESTERN,Ashburton,-76.66743000000002,39.32341,"(39.3234100000, -76.6674300000)",STREET,1,2015-01-20 07:30:00,Low,Larceny f/Auto,winter,1,21
129263,2015-01-19,20:30:00,3AJF,5500 PILGRIM RD,ROBBERY - CARJACKING,Outside,FIREARM,423.0,NORTHEASTERN,Hamilton Hills,-76.57032,39.35748,"(39.3574800000, -76.5703200000)",STREET,1,2015-01-19 20:22:00,High,Car Jacking,winter,1,20
129264,2015-01-19,20:30:00,6D,100 N DUNCAN ST,LARCENY FROM AUTO,Outside,NONE,212.0,SOUTHEASTERN,Butcher's Hill,-76.58693000000002,39.293,"(39.2930000000, -76.5869300000)",STREET,1,2015-01-20 18:02:00,Low,Larceny f/Auto,winter,1,20
129265,2015-01-19,20:30:00,7A,2300 HARFORD RD,AUTO THEFT,Outside,NONE,342.0,EASTERN,East Baltimore Midway,-76.59602,39.31613,"(39.3161300000, -76.5960200000)",GAS STATIO,1,2015-01-19 20:44:00,Medium,Auto Theft,winter,1,20
129270,2015-01-19,20:00:00,7A,2500 GARRETT AV,AUTO THEFT,Outside,NONE,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.59849,39.31917,"(39.3191700000, -76.5984900000)",STREET,1,2015-01-20 07:28:00,Medium,Auto Theft,winter,1,20
129273,2015-01-19,19:45:00,6J,4100 MARX AV,LARCENY,Outside,NONE,426.0,NORTHEASTERN,Waltherson,-76.56111,39.33433,"(39.3343300000, -76.5611100000)",STREET,1,2015-01-19 19:27:00,Medium,Larceny,winter,1,19
129280,2015-01-19,18:45:00,6E,3400 BRENDAN AV,LARCENY,Outside,NONE,432.0,NORTHEASTERN,Belair-Edison,-76.56763000000002,39.31969,"(39.3196900000, -76.5676300000)",YARD,1,2015-01-19 18:57:00,Low,Larceny f/Auto,winter,1,18
129283,2015-01-19,18:30:00,3AF,1100 WILMOT CT,ROBBERY - STREET,Outside,FIREARM,312.0,EASTERN,Oldtown,-76.60264000000002,39.29939,"(39.2993900000, -76.6026400000)",STREET,1,2015-01-19 18:23:00,High,Robbery Armed,winter,1,18
129287,2015-01-19,18:00:00,5C,3500 WOODLEA AV,BURGLARY,Inside,NONE,426.0,NORTHEASTERN,Waltherson,-76.56085999999998,39.34224,"(39.3422400000, -76.5608600000)",OTHER - IN,1,2015-01-19 22:05:00,Medium,Burglary,winter,1,18
129290,2015-01-19,18:00:00,4C,4400 MAINE AV,AGG. ASSAULT,Inside,OTHER,622.0,NORTHWESTERN,Howard Park,-76.69241,39.32899000000001,"(39.3289900000, -76.6924100000)",OTHER/RESI,1,2015-01-19 17:41:00,High,Cutting,winter,1,18
129291,2015-01-19,17:30:00,6D,400 WOODFORD RD,LARCENY FROM AUTO,Outside,NONE,521.0,NORTHERN,Radnor-Winston,-76.61269,39.3506,"(39.3506000000, -76.6126900000)",STREET,1,2015-01-20 08:24:00,Low,Larceny f/Auto,winter,1,17
129295,2015-01-19,17:15:00,6J,0 S POTOMAC ST,LARCENY,Outside,NONE,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57477,39.29174,"(39.2917400000, -76.5747700000)",STREET,1,2015-01-19 17:21:00,Low,Larceny,winter,1,17
129301,2015-01-19,16:40:00,3AO,1100 N LAKEWOOD AV,ROBBERY - STREET,Outside,OTHER,323.0,EASTERN,Biddle Street,-76.57983,39.30417,"(39.3041700000, -76.5798300000)",STREET,1,2015-01-19 16:36:00,High,Aggrav Assault,winter,1,16
129303,2015-01-19,16:30:00,5A,1600 DIVISION ST,BURGLARY,Inside,NONE,123.0,CENTRAL,Upton,-76.63275,39.30374000000001,"(39.3037400000, -76.6327500000)",ROW/TOWNHO,1,2015-01-19 17:58:00,Medium,Burglary,winter,1,16
